epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,819,,0.07213012129068375,,29.374418258666992,,36.64750671386719,,,
,0.0001,0.0001,824,,,,,,,,,
0,,,824,,0.03452745079994202,,21.964813232421875,,25.355281829833984,,,
,0.0001,0.0001,829,,,,,,,,,
0,,,829,,0.09107987582683563,,33.61438751220703,,41.1810417175293,,,
,0.0001,0.0001,834,,,,,,,,,
0,,,834,,0.07531940937042236,,27.371524810791016,,37.81242370605469,,,
,0.0001,0.0001,839,,,,,,,,,
0,,,839,,0.16096384823322296,,36.92518615722656,,62.84238815307617,,,
,0.0001,0.0001,844,,,,,,,,,
0,,,844,,0.02588386833667755,,16.30065155029297,,21.953346252441406,,,
,0.0001,0.0001,849,,,,,,,,,
0,,,849,,0.03719831630587578,,20.720134735107422,,26.317686080932617,,,
,0.0001,0.0001,854,,,,,,,,,
0,,,854,,0.09593839943408966,,35.361305236816406,,42.26514434814453,,,
,0.0001,0.0001,859,,,,,,,,,
0,,,859,,0.03909175843000412,,21.166913986206055,,26.97918128967285,,,
,0.0001,0.0001,864,,,,,,,,,
0,,,864,,0.09652446955442429,,28.51009178161621,,43.6041145324707,,,
,0.0001,0.0001,869,,,,,,,,,
0,,,869,,0.10141154378652573,,32.746063232421875,,44.29122543334961,,,
,0.0001,0.0001,874,,,,,,,,,
0,,,874,,0.027944527566432953,,18.741600036621094,,22.810482025146484,,,
,0.0001,0.0001,879,,,,,,,,,
0,,,879,,0.036376968026161194,,19.530513763427734,,26.025514602661133,,,
,0.0001,0.0001,884,,,,,,,,,
0,,,884,,0.04295320436358452,,22.441970825195312,,28.280290603637695,,,
,0.0001,0.0001,889,,,,,,,,,
0,,,889,,0.03587319329380989,,17.96930694580078,,25.844680786132812,,,
,0.0001,0.0001,894,,,,,,,,,
0,,,894,,0.04749196767807007,,22.507431030273438,,29.7369327545166,,,
,0.0001,0.0001,899,,,,,,,,,
0,,,899,,0.06548307090997696,,22.008037567138672,,35.3614616394043,,,
,0.0001,0.0001,904,,,,,,,,,
0,,,904,,0.07918840646743774,,30.22848129272461,,38.440277099609375,,,
,0.0001,0.0001,909,,,,,,,,,
0,,,909,,0.06281735002994537,,27.80112075805664,,34.199981689453125,,,
,0.0001,0.0001,914,,,,,,,,,
0,,,914,,0.0874985009431839,,28.59015655517578,,40.48878860473633,,,
,0.0001,0.0001,919,,,,,,,,,
